Building Name,District Name,County,"City, State, Zip Code",Performance Index Score 2015-16,City,State,Zip Code,Code+4
Cherry Hill Primary,Washington Court House City,Fayette,"Washington, OH, 43160-1060",NC,Washington, OH, 43160,1060
Belle Aire Intermediate,Washington Court House City,Fayette,"Washington, OH, 43160-2465",76.781,Washington, OH, 43160,2465
Hubbard Mastery School,Columbus City,Franklin,"Columbus, OH, 43215-6415",58.100,Columbus, OH, 43215,6415
Struthers Middle School,Struthers City,Mahoning,"Struthers, OH, 44471-1666",79.657,Struthers, OH, 44471,1666
Hughes STEM High School,Cincinnati City,Hamilton,"Cincinnati, OH, 45219-1003",50.088,Cincinnati, OH, 45219,1003
Highland Elementary School,Hamilton City,Butler,"Hamilton, OH, 45013-1636",79.181,Hamilton, OH, 45013,1636
Findlay High School,Findlay City,Hancock,"Findlay, OH, 45840-2653",80.296,Findlay, OH, 45840,2653
Findley Community Learning Center,Akron City,Summit,"Akron, OH, 44310-2945",54.595,Akron, OH, 44310,2945
Finland Elementary School,South-Western City,Franklin,"Columbus, OH, 43223-3719",75.267,Columbus, OH, 43223,3719
Finneytown Secondary Campus,Finneytown Local,Hamilton,"Cincinnati, OH, 45231-4806",69.978,Cincinnati, OH, 45231,4806
Firelands Elementary School,Firelands Local,Lorain,"Oberlin, OH, 44074-9628",79.030,Oberlin, OH, 44074,9628
Firelands High School,Firelands Local,Lorain,"Oberlin, OH, 44074-9628",81.993,Oberlin, OH, 44074,9628
Firestone High School,Akron City,Summit,"Akron, OH, 44313-6432",69.848,Akron, OH, 44313,6432
Firestone Park Elementary School,Akron City,Summit,"Akron, OH, 44301-2163",71.913,Akron, OH, 44301,2163
Evolve Academy,Medina City SD,Medina,"Medina, OH, 44256-3691",NC,Medina, OH, 44256,3691
South Gallia Middle School,Gallia County Local,Gallia,"Crown City, OH, 45623-8000",64.837,Crown City, OH, 45623,8000
Olmsted Falls Early Childhood Center,Olmsted Falls City,Cuyahoga,"Olmsted, OH, 44138-1203",NC,Olmsted, OH, 44138,1203
Bucyrus Elementary School,Bucyrus City,Crawford,"Bucyrus, OH, 44820-2460",78.718,Bucyrus, OH, 44820,2460
Rittman Middle School,Rittman Exempted Village,Wayne,"Rittman, OH, 44270-1280",82.164,Rittman, OH, 44270,1280
Wapakoneta Elementary,Wapakoneta City,Auglaize,"Wapakoneta, OH, 45895-1247",94.513,Wapakoneta, OH, 45895,1247
Wapakoneta Jr. High,Wapakoneta City,Auglaize,"Wapakoneta, OH, 45895-9375",82.783,Wapakoneta, OH, 45895,9375
Fishcreek Elementary School,Stow-Munroe Falls City School District,Summit,"Stow, OH, 44224-1934",92.201,Stow, OH, 44224,1934
Buckeye Central Middle School,Buckeye Central Local,Crawford,"New Washington, OH, 44854-9521",94.847,New Washington, OH, 44854,9521
Olmsted Falls Intermediate Building,Olmsted Falls City,Cuyahoga,"Olmsted Falls, OH, 44138-1103",101.899,Olmsted Falls, OH, 44138,1103
Fitch High School,Austintown Local Schools,Mahoning,"Youngstown, OH, 44515-3701",74.535,Youngstown, OH, 44515,3701
Fairborn Primary School,Fairborn City,Greene,"Fairborn, OH, 45324-3435",79.808,Fairborn, OH, 45324,3435
North College Hill Middle School,North College Hill City,Hamilton,"Cincinnati, OH, 45239-4810",59.054,Cincinnati, OH, 45239,4810
Reading Community Middle School,Reading Community City,Hamilton,"Reading, OH, 45215-3345",81.066,Reading, OH, 45215,3345
Middleburg Heights Junior High,Berea City,Cuyahoga,"Middleburg Heights, OH, 44130-3561",77.293,Middleburg Heights, OH, 44130,3561
Riverdale Elementary School,Riverdale Local,Hancock,"Mt Blanchard, OH, 45867-9783",NC,Mt Blanchard, OH, 45867,9783
Northeast Ohio College Preparatory School,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44113-4467",66.739,Cleveland, OH, 44113,4467
Forest Elementary School,Troy City,Miami,"Troy, OH, 45373-3616",92.507,Troy, OH, 45373,3616
Forest Hill Community Learning Center,Akron City,Summit,"Akron, OH, 44310-3425",66.898,Akron, OH, 44310,3425
South Bloomfield Elementary,Teays Valley Local,Pickaway,"South, OH, 43103-9239",97.778,South, OH, 43103,9239
Imagine Akron Academy,Office of School Sponsorship,Franklin,"Akron, OH, 44320-4000",NC,Akron, OH, 44320,4000
Forest Park Elementary School,Columbus City,Franklin,"Columbus, OH, 43229-4476",65.619,Columbus, OH, 43229,4476
The Richland School of Academic Arts,North Central Ohio ESC,Seneca,"Ontario, OH, 44906-2700",88.795,Ontario, OH, 44906,2700
Graham Expeditionary Middle School,Graham Expeditionary Middle School,Franklin,"Columbus, OH, 43214-3167",72.171,Columbus, OH, 43214,3167
Winton Woods Intermediate School,Winton Woods City,Hamilton,"Cincinnati, OH, 45240-3129",67.543,Cincinnati, OH, 45240,3129
Horizon Science Academy Dayton Downtown,Horizon Science Academy Dayton Downtown,Montgomery,"Dayton, OH, 45403-2127",60.828,Dayton, OH, 45403,2127
Horizon Science Academy Youngstown,Horizon Science Academy Youngstown,Mahoning,"Youngstown, OH, 44507-2044",50.997,Youngstown, OH, 44507,2044
Jane Chance Elementary,Miamisburg City,Montgomery,"Miamisburg, OH, 45342-4844",97.232,Miamisburg, OH, 45342,4844
Wynford Junior High,Wynford Local,Crawford,"Bucyrus, OH, 44820-9463",89.099,Bucyrus, OH, 44820,9463
Columbus North International School (7-12),Columbus City,Franklin,"Columbus, OH, 43202-2641",64.813,Columbus, OH, 43202,2641
Columbus City Preparatory School for Girls,Columbus City,Franklin,"Columbus, OH, 43205-2001",73.329,Columbus, OH, 43205,2001
Columbus City Preparatory School for Boys,Columbus City,Franklin,"Columbus, OH, 43213-1631",60.413,Columbus, OH, 43213,1631
Zenith Academy East,Zenith Academy East,Franklin,"Columbus, OH, 43232-4301",63.220,Columbus, OH, 43232,4301
Cleveland College Preparatory School,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44105-3328",65.950,Cleveland, OH, 44105,3328
Columbus Performance Academy,Columbus Performance Academy,Franklin,"Columbus, OH, 43219-7008",60.614,Columbus, OH, 43219,7008
Geneva Platt R. Spencer Elementary School,Geneva Area City,Ashtabula,"Geneva, OH, 44041",82.296,Geneva, OH, 44041,
Constellation Schools: Stockyard Community Middle,Constellation Schools: Stockyard Community Middle,Cuyahoga,"Parma, OH, 44134-1602",49.845,Parma, OH, 44134,1602
Constellation Schools: Collinwood Village Academy,Constellation Schools: Collinwood Village Academy,Cuyahoga,"Parma, OH, 44134-1602",63.583,Parma, OH, 44134,1602
Citizens Leadership Academy,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44106-4124",77.788,Cleveland, OH, 44106,4124
Near West Intergenerational School,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44113-2847",89.302,Cleveland, OH, 44113,2847
Entrepreneurship Preparatory School - Woodland Hills Campus,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44105-1627",66.524,Cleveland, OH, 44105,1627
Foxfire Intermediate School,Maysville Local,Muskingum,"Zanesville, OH, 43701-8593",57.406,Zanesville, OH, 43701,8593
Fostoria Junior/Senior High School,Fostoria City,Seneca,"Fostoria, OH, 44830-1455",64.603,Fostoria, OH, 44830,1455
Patriot Preparatory Academy,Patriot Preparatory Academy,Franklin,"Columbus, OH, 43227-2113",66.655,Columbus, OH, 43227,2113
North Central Academy,North Central Ohio ESC,Seneca,"Tiffin, OH, 44883-2529",51.068,Tiffin, OH, 44883,2529
Akros Middle School,Akros Middle School,Summit,"Akron, OH, 44304-1305",58.558,Akron, OH, 44304,1305
Quest Community School,Office of School Sponsorship,Franklin,"Parma, OH, 44130-9313",NC,Parma, OH, 44130,9313
Reynoldsburg High School eSTEM,Reynoldsburg City,Franklin,"Reynoldsburg, OH, 43068-1411",83.796,Reynoldsburg, OH, 43068,1411
Adena Elementary School,Adena Local,Ross,"Frankfort, OH, 45628-9503",83.329,Frankfort, OH, 45628,9503
General Rosecrans Elementary,Big Walnut Local,Delaware,"Sunbury, OH, 43074",95.169,Sunbury, OH, 43074,
Southside Academy,Southside Academy,Mahoning,"Youngstown, OH, 44507-1018",49.465,Youngstown, OH, 44507,1018
River's Edge Montessori PreK-6 School,Dayton City,Montgomery,"Dayton, OH, 45405-4912",52.996,Dayton, OH, 45405,4912
Franklin Elementary School,Delphos City,Allen,"Delphos, OH, 45833-1593",100.249,Delphos, OH, 45833,1593
Franklin Monroe Elementary School,Franklin Monroe Local,Darke,"Pitsburg, OH, 45358-0038",104.208,Pitsburg, OH, 45358,0038
Ben Franklin Elementary School,Newark City,Licking,"Newark, OH, 43055-5295",78.597,Newark, OH, 43055,5295
Franklin Elementary School,Massillon City,Stark,"Massillon, OH, 44646-8307",86.733,Massillon, OH, 44646,8307
Franklin Elementary School,Wadsworth City,Medina,"Wadsworth, OH, 44281-1394",99.442,Wadsworth, OH, 44281,1394
Franklin Twp Elementary School,Triway Local,Wayne,"Wooster, OH, 44691-8304",100.158,Wooster, OH, 44691,8304
Franklin High School,Franklin City,Warren,"Franklin, OH, 45005-2308",81.630,Franklin, OH, 45005,2308
Franklin Heights High School,South-Western City,Franklin,"Columbus, OH, 43204-1043",59.992,Columbus, OH, 43204,1043
New Beginnings,Lorain City,Lorain,"Lorain, OH, 44052-1813",35.667,Lorain, OH, 44052,1813
Harrison East Elementary,Harrison Hills City,Harrison,"Hopedale, OH, 43976-8707",83.842,Hopedale, OH, 43976,8707
Campus International School,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44114-4604",81.479,Cleveland, OH, 44114,4604
New Technology West,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44111-5064",51.042,Cleveland, OH, 44111,5064
New Technology HS@East Tech,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44104-1501",43.592,Cleveland, OH, 44104,1501
Facing History High School@Charles Mooney,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44109-1506",50.661,Cleveland, OH, 44109,1506
Franklin Elementary School,Elyria City Schools,Lorain,"Elyria, OH, 44035-7037",65.776,Elyria, OH, 44035,7037
Franklin Monroe High School,Franklin Monroe Local,Darke,"Pitsburg, OH, 45358-0038",86.469,Pitsburg, OH, 45358,0038
Metro Early College High School,Metro Early College High School,Franklin,"Columbus, OH, 43210-1015",93.728,Columbus, OH, 43210,1015
Eastwood Elementary School,Warrensville Heights City,Cuyahoga,"Warrensville, OH, 44122-7038",51.526,Warrensville, OH, 44122,7038
John Dewey Elementary School,Warrensville Heights City,Cuyahoga,"Warrensville, OH, 44128-5142",NC,Warrensville, OH, 44128,5142
Frazer Elementary School,Plain Local,Stark,"Canton, OH, 44709-1533",101.382,Canton, OH, 44709,1533
Mapleton Middle School,Mapleton Local,Ashland,"Ashland, OH, 44805-9571",81.420,Ashland, OH, 44805,9571
Frazeysburg Elementary School,Tri-Valley Local,Muskingum,"Frazeysburg, OH, 43822-0250",90.479,Frazeysburg, OH, 43822,0250
Fredericksburg Elementary School,Southeast Local,Wayne,"Fredericksburg, OH, 44627-0249",93.402,Fredericksburg, OH, 44627,0249
Fredericktown Elementary School,Fredericktown Local,Knox,"Fredericktown, OH, 43019-1000",98.276,Fredericktown, OH, 43019,1000
Fredericktown High School,Fredericktown Local,Knox,"Fredericktown, OH, 43019-9801",80.190,Fredericktown, OH, 43019,9801
Fremont Middle School,Fremont City,Sandusky,"Fremont, OH, 43420-1135",70.807,Fremont, OH, 43420,1135
Big Walnut Intermediate School,Big Walnut Local,Delaware,"Sunbury, OH, 43074-9334",88.521,Sunbury, OH, 43074,9334
Fremont Ross High School,Fremont City,Sandusky,"Fremont, OH, 43420-1132",61.453,Fremont, OH, 43420,1132
Beacon Hill Academy,Tri-County ESC,Wayne,"Mount Eaton, OH, 44659-0285",80.823,Mount Eaton, OH, 44659,0285
Madisonville SMART Elementary,Madisonville SMART Elementary,Hamilton,"Cincinnati, OH, 45227-2943",50.426,Cincinnati, OH, 45227,2943
"Reynoldsburg HS Encore: Arts, Communication & Design Academy",Reynoldsburg City,Franklin,"Reynoldsburg, OH, 43068-1411",69.335,Reynoldsburg, OH, 43068,1411
Reynoldsburg HS Health Sciences & Human Services Academy,Reynoldsburg City,Franklin,"Reynoldsburg, OH, 43068-3688",76.444,Reynoldsburg, OH, 43068,3688
"Reynoldsburg HS Business, Education Leadership & Law Academy",Reynoldsburg City,Franklin,"Reynoldsburg, OH, 43068-3688",64.644,Reynoldsburg, OH, 43068,3688
French Run Elementary School,Reynoldsburg City,Franklin,"Reynoldsburg, OH, 43068-2116",88.056,Reynoldsburg, OH, 43068,2116
Madison-Plains Elementary School,Madison-Plains Local,Madison,"London, OH, 43140-9696",85.104,London, OH, 43140,9696
Madison-Plains Intermediate School,Madison-Plains Local,Madison,"London, OH, 43140-9696",85.286,London, OH, 43140,9696
Newbridge Math & Reading Preparatory Academy,Newbridge Math & Reading Preparatory Academy,Franklin,"Columbus, OH, 43228-4327",45.362,Columbus, OH, 43228,4327
University of Cleveland Preparatory School,University of Cleveland Preparatory School,Cuyahoga,"Cleveland, OH, 44103-3557",55.630,Cleveland, OH, 44103,3557
Imagine Woodbury Academy,Warren County ESC,Warren,"Dayton, OH, 45415-2841",46.194,Dayton, OH, 45415,2841
Crestview Middle School,Crestview Local,Van Wert,"Convoy, OH, 45832-8864",92.015,Convoy, OH, 45832,8864
Global Village Academy,Office of School Sponsorship,Franklin,"Parma, OH, 44134-2564",94.469,Parma, OH, 44134,2564
Summit Road Elementary,Reynoldsburg City,Franklin,"Reynoldsburg, OH, 43068-1411",105.104,Reynoldsburg, OH, 43068,1411
Reid Middle School,Clark-Shawnee Local,Clark,"Springfield, OH, 45502-7947",92.138,Springfield, OH, 45502,7947
Rockway Middle School,Clark-Shawnee Local,Clark,"Springfield, OH, 45504-3636",89.171,Springfield, OH, 45504,3636
Possum Middle School,Clark-Shawnee Local,Clark,"Springfield, OH, 45506",83.478,Springfield, OH, 45506,
Frontier High School,Frontier Local,Washington,"New Matamoras, OH, 45767-0134",68.107,New Matamoras, OH, 45767,0134
Fort Frye High School,Fort Frye Local,Washington,"Beverly, OH, 45715-1089",76.893,Beverly, OH, 45715,1089
Fort Island Primary Elementary School,Copley-Fairlawn City,Summit,"Fairlawn, OH, 44333-3274",102.962,Fairlawn, OH, 44333,3274
Fort Jennings Elementary School,Jennings Local,Putnam,"Fort Jennings, OH, 45844-0187",85.424,Fort Jennings, OH, 45844,0187
Fort Jennings High School,Jennings Local,Putnam,"Fort Jennings, OH, 45844-0098",92.629,Fort Jennings, OH, 45844,0098
STEAM Academy of Akron,STEAM Academy of Akron,Summit,"Akron, OH, 44306-3603",59.836,Akron, OH, 44306,3603
Fort Loramie Elementary School,Fort Loramie Local,Shelby,"Fort Loramie, OH, 45845-0034",108.293,Fort Loramie, OH, 45845,0034
Fort Loramie Junior-Senior High School,Fort Loramie Local,Shelby,"Fort Loramie, OH, 45845-0290",94.413,Fort Loramie, OH, 45845,0290
STEAM Academy of Warren,STEAM Academy of Warren,Trumbull,"Warren, OH, 44483-5003",51.095,Warren, OH, 44483,5003
Fort Miami Elementary School,Maumee City,Lucas,"Maumee, OH, 43537-3732",97.436,Maumee, OH, 43537,3732
Constellation Schools: Eastside Arts Academy,Constellation Schools: Eastside Arts Academy,Cuyahoga,"Cleveland, OH, 44105-3756",52.308,Cleveland, OH, 44105,3756
Fort Recovery High School,Fort Recovery Local,Mercer,"Fort Recovery, OH, 45846-0604",88.919,Fort Recovery, OH, 45846,0604
Fullerton School,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44105-3433",44.167,Cleveland, OH, 44105,3433
Broadway Academy,Broadway Academy,Cuyahoga,"Cleveland, OH, 44127-1691",44.646,Cleveland, OH, 44127,1691
Evergreen Elementary School,Evergreen Local,Fulton,"Metamora, OH, 43540-9741",91.775,Metamora, OH, 43540,9741
Heath Middle School,Heath City,Licking,"Heath, OH, 43056-1534",86.891,Heath, OH, 43056,1534
Fulton Elementary School,Springfield City School District,Clark,"Springfield, OH, 45506-2060",60.481,Springfield, OH, 45506,2060
Furry Elementary School,Perkins Local,Erie,"Sandusky, OH, 44870-5744",NC,Sandusky, OH, 44870,5744
Harrison Street Elementary School,Big Walnut Local,Delaware,"Sunbury, OH, 43074-9226",89.264,Sunbury, OH, 43074,9226
Galion High School,Galion City,Crawford,"Galion, OH, 44833-1115",76.455,Galion, OH, 44833,1115
Galion Middle School,Galion City,Crawford,"Galion, OH, 44833-1115",84.574,Galion, OH, 44833,1115
Gallia Academy High School,Gallipolis City,Gallia,"Gallipolis, OH, 45631-9129",75.224,Gallipolis, OH, 45631,9129
Wiggin Street Elementary School,Mount Vernon City,Knox,"Gambier, OH, 43022-0352",105.891,Gambier, OH, 43022,0352
Garaway High School,Garaway Local,Tuscarawas,"Sugarcreek, OH, 44681-9309",83.225,Sugarcreek, OH, 44681,9309
Citizens Academy East,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44108-2422",79.041,Cleveland, OH, 44108,2422
Baltic Elementary School,Garaway Local,Tuscarawas,"Baltic, OH, 43804-0266",78.447,Baltic, OH, 43804,0266
Garfield Elementary School,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44111-4972",62.026,Cleveland, OH, 44111,4972
Van Wert Early Childhood Center,Van Wert City,Van Wert,"Van Wert, OH, 45891-2655",NC,Van Wert, OH, 45891,2655
Garfield Elementary School,Mentor Exempted Village,Lake,"Mentor, OH, 44060-4487",94.136,Mentor, OH, 44060,4487
Garfield Elementary School,Medina City SD,Medina,"Medina, OH, 44256-2602",85.463,Medina, OH, 44256,2602
Garfield Elementary School,Toledo City,Lucas,"Toledo, OH, 43605-1678",54.914,Toledo, OH, 43605,1678
DECA PREP,DECA PREP,Montgomery,"Dayton, OH, 45405-4328",68.158,Dayton, OH, 45405,4328
Columbus Collegiate Academy - West,Columbus Collegiate Academy - West,Franklin,"Columbus, OH, 43223-1310",67.714,Columbus, OH, 43223,1310
Garfield Elementary School,Lorain City,Lorain,"Lorain, OH, 44055-1116",57.987,Lorain, OH, 44055,1116
Garfield Elementary School,Wellsville Local,Columbiana,"Wellsville, OH, 43968-1247",84.297,Wellsville, OH, 43968,1247
Graham Primary School,Graham Primary School,Franklin,"Columbus, OH, 43214-3167",66.293,Columbus, OH, 43214,3167
Village Preparatory School:: Woodland Hills Campus,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44105-1627",64.455,Cleveland, OH, 44105,1627
James A Garfield Elementary School,James A Garfield Local,Portage,"Garrettsville, OH, 44231-9205",91.908,Garrettsville, OH, 44231,9205
Garfield Elementary School,Heath City,Licking,"Heath, OH, 43056-1206",NC,Heath, OH, 43056,1206
The Haley School,The Haley School,Cuyahoga,"Warrensville Heights, OH, 44128-5948",60.220,Warrensville Heights, OH, 44128,5948
Garfield Middle School,Hamilton City,Butler,"Hamilton, OH, 45011-4222",67.014,Hamilton, OH, 45011,4222
James A Garfield High School,James A Garfield Local,Portage,"Garrettsville, OH, 44231-9205",81.505,Garrettsville, OH, 44231,9205
Massillon Intermediate School,Massillon City,Stark,"Massillon, OH, 44647-5910",79.141,Massillon, OH, 44647,5910
Kleptz Early Childhood Learning Center,Northmont City,Montgomery,"Clayton, OH, 45315-9508",NC,Clayton, OH, 45315,9508
Garfield High School,Akron City,Summit,"Akron, OH, 44314-2204",53.339,Akron, OH, 44314,2204
Lake Erie College Preparatory School,Lake Erie College Preparatory School,Cuyahoga,"Cleveland, OH, 44110-3433",46.239,Cleveland, OH, 44110,3433
Garfield Heights High School,Garfield Heights City Schools,Cuyahoga,"Garfield Heights, OH, 44125-2501",58.105,Garfield Heights, OH, 44125,2501
Garfield Heights Middle School,Garfield Heights City Schools,Cuyahoga,"Garfield Heights, OH, 44125-4346",56.384,Garfield Heights, OH, 44125,4346
STEAM Academy of Dayton,STEAM Academy of Dayton,Montgomery,"Dayton, OH, 45405-2743",47.097,Dayton, OH, 45405,2743
STEAM Academy of Warrensville Heights,STEAM Academy of Warrensville Heights,Cuyahoga,"Warrensville Heights, OH, 44128-5984",56.649,Warrensville Heights, OH, 44128,5984
Stepstone Academy,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44115-2747",51.579,Cleveland, OH, 44115,2747
Hope Academy for Autism,Hope Academy for Autism,Trumbull,"Warren, OH, 44484-5111",57.059,Warren, OH, 44484,5111
Imagine Hill Avenue,Imagine Hill Avenue,Lucas,"Toledo, OH, 43615-5600",67.619,Toledo, OH, 43615,5600
SunBridge Schools,SunBridge Schools,Lucas,"Toledo, OH, 43615-3032",51.661,Toledo, OH, 43615,3032
James A Garfield Middle School,James A Garfield Local,Portage,"Garrettsville, OH, 44231-9205",90.933,Garrettsville, OH, 44231,9205
Hyde Park School,Cincinnati City,Hamilton,"Cincinnati, OH, 45208-2105",111.279,Cincinnati, OH, 45208,2105
Gates Mills Elementary School,Mayfield City,Cuyahoga,"Gates Mills, OH, 44040-9368",100.131,Gates Mills, OH, 44040,9368
Academy of Educational Excellence,North Central Ohio ESC,Seneca,"Toledo, OH, 43607",45.942,Toledo, OH, 43607,
Brookwood Academy,Brookwood Academy,Franklin,"Columbus, OH, 43209-2961",40.921,Columbus, OH, 43209,2961
Nexus Academy of Cleveland,Nexus Academy of Cleveland,Cuyahoga,"Cleveland, OH, 44109-4138",64.186,Cleveland, OH, 44109,4138
Nexus Academy of Toledo,Nexus Academy of Toledo,Lucas,"Toledo, OH, 43604-1071",67.093,Toledo, OH, 43604,1071
Nexus Academy of Columbus,Nexus Academy of Columbus,Franklin,"Columbus, OH, 43232-4152",57.684,Columbus, OH, 43232,4152
Geneva High School,Geneva Area City,Ashtabula,"Geneva, OH, 44041-8269",75.426,Geneva, OH, 44041,8269
Geneva Middle School,Geneva Area City,Ashtabula,"Geneva, OH, 44041-9101",83.632,Geneva, OH, 44041,9101
Akron STEM High School,Akron City,Summit,"Akron, OH, 44308-1703",89.135,Akron, OH, 44308,1703
A+ Children's Academy,A+ Children's Academy,Franklin,"Columbus, OH, 43207-4031",63.103,Columbus, OH, 43207,4031
Genoa Area High School,Genoa Area Local,Ottawa,"Genoa, OH, 43430-9733",80.175,Genoa, OH, 43430,9733
Genoa Area Middle School,Genoa Area Local,Ottawa,"Genoa, OH, 43430-9733",89.660,Genoa, OH, 43430,9733
Ohio College Preparatory School,Ohio College Preparatory School,Cuyahoga,"Maple Heights, OH, 44137-3004",51.949,Maple Heights, OH, 44137,3004
Akron Preparatory School,Akron Preparatory School,Summit,"Akron, OH, 44305-4018",67.042,Akron, OH, 44305,4018
Canton College Preparatory School,Canton College Preparatory School,Stark,"Canton, OH, 44702-1707",61.961,Canton, OH, 44702,1707
Genoa Elementary School,Perry Local,Stark,"Massillon, OH, 44646-3772",91.823,Massillon, OH, 44646,3772
George H Gerke Elementary School,Franklin City,Warren,"Franklin, OH, 45005-1970",86.004,Franklin, OH, 45005,1970
Highview 6th Grade Center,Middletown City,Butler,"Middletown, OH, 45044-5029",63.735,Middletown, OH, 45044,5029
George Washington Carver,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44103-4406",36.208,Cleveland, OH, 44103,4406
Western Primary,Western Local,Pike,"Latham, OH, 45646-9701",61.240,Latham, OH, 45646,9701
Westbrooke Village,Trotwood-Madison City,Montgomery,"Trotwood, OH, 45426-1123",59.186,Trotwood, OH, 45426,1123
Georgetown Jr/Sr High School,Georgetown Exempted Village,Brown,"Georgetown, OH, 45121-9314",81.799,Georgetown, OH, 45121,9314
Georgian Heights Alt Elementary School,Columbus City,Franklin,"Columbus, OH, 43228-2995",74.100,Columbus, OH, 43228,2995
Valley View Primary School,Valley View Local,Montgomery,"Germantown, OH, 45327-1006",80.788,Germantown, OH, 45327,1006
Valley View Junior High School,Valley View Local,Montgomery,"Farmersville, OH, 45325-1024",88.485,Farmersville, OH, 45325,1024
Gibbs Elementary School,Canton City,Stark,"Canton, OH, 44705-1128",59.344,Canton, OH, 44705,1128
James J Hilfiker Elementary School,Gibsonburg Exempted Village,Sandusky,"Gibsonburg, OH, 43431-1264",95.542,Gibsonburg, OH, 43431,1264
Gibsonburg High School,Gibsonburg Exempted Village,Sandusky,"Gibsonburg, OH, 43431-9773",79.412,Gibsonburg, OH, 43431,9773
Pandora-Gilboa Middle School,Pandora-Gilboa Local,Putnam,"Pandora, OH, 45877-9607",92.321,Pandora, OH, 45877,9607
Girard Sr High School,Girard City School District,Trumbull,"Girard, OH, 44420-1410",82.929,Girard, OH, 44420,1410
Glandorf Elementary School,Ottawa-Glandorf Local,Putnam,"Ottawa, OH, 45875",102.240,Ottawa, OH, 45875,
Glen Este High School,West Clermont Local,Clermont,"Cincinnati, OH, 45103",67.084,Cincinnati, OH, 45103,
Glen Este Middle School,West Clermont Local,Clermont,"Cincinnati, OH, 45245-1501",80.291,Cincinnati, OH, 45245,1501
Glendale Elementary School,Princeton City,Hamilton,"Cincinnati, OH, 45246-4423",85.831,Cincinnati, OH, 45246,4423
Glendale-Feilbach Elementary School,Toledo City,Lucas,"Toledo, OH, 43614-3111",64.083,Toledo, OH, 43614,3111
Glendale Primary School,Bedford City,Cuyahoga,"Bedford, OH, 44146-3236",70.051,Bedford, OH, 44146,3236
Glenford Elementary School,Northern Local,Perry,"Glenford, OH, 43739-9746",100.967,Glenford, OH, 43739,9746
John Glenn High School,East Muskingum Local,Muskingum,"New Concord, OH, 43762-9762",83.311,New Concord, OH, 43762,9762
Glenville High School,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44108-2603",44.418,Cleveland, OH, 44108,2603
Glenwood Elementary School,Rossford Exempted Village,Wood,"Perrysburg, OH, 43551-4019",NC,Perrysburg, OH, 43551,4019
Glenwood Elementary School,Toledo City,Lucas,"Toledo, OH, 43610-1658",51.158,Toledo, OH, 43610,1658
Glenwood High School,New Boston Local,Scioto,"New Boston, OH, 45662",55.035,New Boston, OH, 45662,
Trimble High School,Trimble Local,Athens,"Glouster, OH, 45732-9335",71.863,Glouster, OH, 45732,9335
Glover Community Learning Center,Akron City,Summit,"Akron, OH, 44306-1946",71.260,Akron, OH, 44306,1946
Goldwood Primary Elementary School,Rocky River City,Cuyahoga,"Rocky River, OH, 44116-3918",NC,Rocky River, OH, 44116,3918
Gordon Dewitt Elementary School,Cuyahoga Falls City,Summit,"Cuyahoga Falls, OH, 44221-3847",92.458,Cuyahoga Falls, OH, 44221,3847
H Barbara Booker Elementary School,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44102-4316",43.706,Cleveland, OH, 44102,4316
Fayette Elementary School,Fayette Local,Fulton,"Fayette, OH, 43521-9462",91.790,Fayette, OH, 43521,9462
Cincinnati Technology Academy,Cincinnati Technology Academy,Hamilton,"Cincinnati, OH, 45205-1436",50.302,Cincinnati, OH, 45205,1436
Fayette Jr/Sr High School,Fayette Local,Fulton,"Fayette, OH, 43521-9462",69.600,Fayette, OH, 43521,9462
Franklinton Preparatory Academy,Franklinton Preparatory Academy,Franklin,"Columbus, OH, 43222-1132",55.821,Columbus, OH, 43222,1132
Gorrell Elementary School,Massillon City,Stark,"Massillon, OH, 44647-6077",93.109,Massillon, OH, 44647,6077
Marr/Cook Elementary School,Goshen Local,Clermont,"Goshen, OH, 45122-9273",NC,Goshen, OH, 45122,9273
Goshen High School,Goshen Local,Clermont,"Goshen, OH, 45122-9200",80.058,Goshen, OH, 45122,9200
Trebein Elementary School,Beavercreek City,Greene,"Xenia, OH, 45385-7119",109.031,Xenia, OH, 45385,7119
Global Impact STEM Academy,Global Impact STEM Academy,Clark,"Springfield, OH, 45505-1941",84.452,Springfield, OH, 45505,1941
Goshen Lane Elementary School,Gahanna-Jefferson City,Franklin,"Gahanna, OH, 43230-2713",87.926,Gahanna, OH, 43230,2713
Goshen Middle School,Goshen Local,Clermont,"Goshen, OH, 45122-9273",92.047,Goshen, OH, 45122,9273
